unit,nace_r2,indic_se,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
PC,B-N,MMW_MEAN_ME_PP,UK	: 	: 	45.5 	44.8 	44.5 	44.1 	41.0 	40.2 	39.3 	39.6 	39.1 	38.7 	38.6 	38.2 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,AL	: 	: 	86.7 	87.1 	86.4 	83.0 	85.9 	99.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,AT	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,BE	: 	: 	: 	46.5 	48.8 	49.2 	48.5 	50.5 	52.6 	53.0 	51.3 	51.4 	52.6 	53.5 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,BG	: 	: 	: 	65.9 	: 	: 	: 	62.6 	: 	: 	: 	54.4 	: 	: 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,CY	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,DE	49.0 	48.5 	49.2 	48.8 	50.2 	48.9 	50.0 	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,DK	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	71.8 	55.2 	59.3 	62.2 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,ES	: 	: 	: 	47.4 	46.6 	44.1 	43.5 	43.0 	44.5 	44.4 	44.7 	44.7 	45.4 	45.2 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,FI	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,FR	: 	: 	: 	58.3 	58.3 	58.6 	58.5 	58.6 	59.2 	59.5 	58.4 	58.8 	59.4 	59.1 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,IE	: 	: 	: 	: 	: 	: 	: 	45.2 	: 	: 	: z	50.9 	49.5 	50.4 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,IS	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,IT	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,LT	: 	: 	: 	55.3 	: 	: 	: 	60.5 	: 	: 	: 	59.4 	: 	: 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,LU	: 	64.4 	64.7 	63.4 	62.8 	62.0 	63.0 	64.0 	63.9 	62.3 	61.5 	60.2 	59.7 	: 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,LV	: 	: 	50.5 	54.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,MT	59.8 	53.6 	54.1 	55.0 	55.6 	57.3 	56.5 	56.0 	56.6 	55.4 	56.9 	56.0 	56.6 	58.6 	58.0 	60.0 	57.4 
PC,B-N,MMW_MED_ME_PP,NL	: 	: 	: 	53.1 	53.0 	52.5 	51.6 	51.7 	51.7 	51.9 	51.8 	51.3 	52.0 	52.5 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,NO	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,PT	: 	68.4 	67.1 	66.9 	66.7 	65.3 	63.1 	63.2 	60.8 	61.9 	61.5 	58.8 	57.8 	: 	: 	: 	: 
PC,B-N,MMW_MED_ME_PP,SE	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 
