currency,geo\time	2021S1 	2020S2 	2020S1 	2019S2 	2019S1 	2018S2 	2018S1 	2017S2 	2017S1 	2016S2 	2016S1 	2015S2 	2015S1 	2014S2 	2014S1 	2013S2 	2013S1 	2012S2 	2012S1 	2011S2 	2011S1 	2010S2 	2010S1 	2009S2 	2009S1 	2008S2 	2008S1 	2007S2 	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 
NAC,BG	650.00 	610.00 	610.00 	560.00 	560.00 	510.00 	510.00 	460.00 	460.00 	420.00 	420.00 	380.00 	360.00 	340.00 	340.00 	310.00 	310.00 	290.00 	270.00 	240.00 	240.00 	240.00 	240.00 	240.00 	240.00 	220.00 	220.00 	180.00 	180.00 	160.00 	160.00 	150.00 	150.00 	120.00 	120.00 	110.00 	110.00 	100.00 	100.00 	85.00 	79.00 	75.00 	67.00 	67.00 	61.00 
NAC,CH	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,CY	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,CZ	15200.00 	14600.00 	14600.00 	13350.00 	13350.00 	12200.00 	12200.00 	11000.00 	11000.00 	9900.00 	9900.00 	9200.00 	9200.00 	8500.00 	8500.00 	8000.00 	8000.00 	8000.00 	8000.00 	8000.00 	8000.00 	8000.00 	8000.00 	8000.00 	8000.00 	8000.00 	8000.00 	8000.00 	8000.00 	7955.00 	7570.00 	7185.00 	7185.00 	6700.00 	6700.00 	6200.00 	6200.00 	5700.00 	5700.00 	5000.00 	5000.00 	4500.00 	4000.00 	3600.00 	3250.00 
NAC,DE	1614.00 	1584.00 	1584.00 	1557.00 	1557.00 	1498.00 	1498.00 	1498.00 	1498.00 	1440.00 	1440.00 	1440.00 	1440.00 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,DK	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,EE	584.00 	584.00 	584.00 	540.00 	540.00 	500.00 	500.00 	470.00 	470.00 	430.00 	430.00 	390.00 	390.00 	355.00 	355.00 	320.00 	320.00 	290.00 	290.00 	278.02 	278.02 	278.02 	278.02 	278.02 	278.02 	278.02 	278.02 	230.08 	230.08 	191.73 	191.73 	171.92 	171.92 	158.50 	158.50 	138.05 	138.05 	118.24 	118.24 	102.26 	102.26 	89.48 	89.48 	79.89 	79.89 
NAC,EL	758.33 	758.33 	758.33 	758.33 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	683.76 	876.62 	876.62 	862.82 	862.82 	862.82 	862.82 	817.83 	794.02 	794.02 	767.55 	730.30 	709.71 	709.71 	667.68 	667.68 	630.77 	630.77 	606.52 	606.52 	582.00 	571.71 	551.70 	543.55 	533.93 	526.05 	512.13 	505.06 
NAC,ES	1108.33 	1108.33 	1108.33 	1050.00 	1050.00 	858.55 	858.55 	825.65 	825.65 	764.40 	764.40 	756.70 	756.70 	752.85 	752.85 	752.85 	752.85 	748.30 	748.30 	748.30 	748.30 	738.85 	738.85 	728.00 	728.00 	700.00 	700.00 	665.70 	665.70 	631.05 	631.05 	598.50 	598.50 	572.60 	537.25 	526.40 	526.40 	515.90 	515.90 	505.69 	505.69 	495.60 	495.60 	485.71 	485.71 
NAC,FI	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,FR	1554.58 	1539.42 	1539.42 	1521.22 	1521.22 	1498.47 	1498.47 	1480.27 	1480.27 	1466.62 	1466.62 	1457.52 	1457.52 	1445.38 	1445.38 	1430.22 	1430.22 	1425.67 	1398.37 	1365.00 	1365.00 	1343.77 	1343.77 	1337.70 	1321.02 	1321.02 	1280.07 	1280.07 	1254.28 	1254.28 	1217.88 	1217.88 	1286.09 	1286.09 	1215.11 	1215.11 	1154.27 	1154.27 	1127.23 	1127.23 	1083.29 	1083.29 	1049.49 	1049.49 	1035.97 
NAC,HR	4250.00 	4062.51 	4062.51 	3750.00 	3750.00 	3439.80 	3439.80 	3276.00 	3276.00 	3120.00 	3120.00 	3029.55 	3029.55 	3017.61 	3017.61 	2984.78 	2814.00 	2814.00 	2814.00 	2814.00 	2814.00 	2814.00 	2814.00 	2814.00 	2747.00 	2747.00 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,HU	161000.00 	161000.00 	161000.00 	149000.00 	149000.00 	138000.00 	138000.00 	127500.00 	127500.00 	111000.00 	111000.00 	105000.00 	105000.00 	101500.00 	101500.00 	98000.00 	98000.00 	93000.00 	93000.00 	78000.00 	78000.00 	73500.00 	73500.00 	71500.00 	71500.00 	69000.00 	69000.00 	65500.00 	65500.00 	62500.00 	62500.00 	57000.00 	57000.00 	53000.00 	53000.00 	50000.00 	50000.00 	50000.00 	50000.00 	40000.00 	40000.00 	25500.00 	25500.00 	22500.00 	22500.00 
